genres,app_name,release_date,tags,id,playtime_forever
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,2018,"['Strategy', 'Action', 'Indie', 'Casual', 'Simulation']",761140,0
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,2018,"['Free to Play', 'Strategy', 'Indie', 'RPG', 'Card Game', 'Trading Card Game', 'Turn-Based', 'Fantasy', 'Tactical', 'Dark Fantasy', 'Board Game', 'PvP', '2D', 'Competitive', 'Replay Value', 'Character Customization', 'Female Protagonist', 'Difficult', 'Design & Illustration']",643980,0
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,2017,"['Free to Play', 'Simulation', 'Sports', 'Casual', 'Indie', 'Multiplayer']",670290,0
"['Action', 'Adventure', 'Casual']",弹炸人2222,2017,"['Action', 'Adventure', 'Casual']",767400,0
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,2018,"['Action', 'Adventure', 'Simulation', 'FPS', 'Shooter', 'Third-Person Shooter', 'Sniper', 'Third Person']",772540,0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774277,0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774278,0
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018,"['Action', 'Adventure', 'RPG', 'Indie', 'Casual']",770380,0
"['Casual', 'Indie']",Beach Rules,2018,"['Casual', 'Indie', 'Pixel Graphics', 'Cute', '2D']",768880,0
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2018,"['Indie', 'Casual', 'Simulation']",765320,0
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,2018,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773650,0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774271,0
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,2018,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773690,0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774279,0
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,2018,"['Action', 'Adventure', 'Indie']",768060,0
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2017,"['Simulation', 'Racing', 'Sports']",775880,0
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2017,"['Simulation', 'Racing', 'Sports']",775881,0
"['Action', 'Indie']",DinoBlaster,2018,"['Indie', 'Action']",653960,0
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,1997,"['Racing', 'Action', 'Classic', 'Indie', 'Gore', ""1990's"", 'Multiplayer', 'Singleplayer']",282010,409
['Action'],Half-Life,1998,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']",70,1010
"['Action', 'Indie', 'RPG']",Fallen Mage,2016,"['Action', 'RPG', 'Indie']",752360,0
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,2018,"['Casual', 'Indie', 'Simulation']",766850,0
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,2018,"['Adventure', 'RPG', 'Indie', 'Casual', 'Clicker']",716110,0
['Strategy'],Disciples II: Gallean's Return,2006,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']",1640,1
['Strategy'],Disciples II: Rise of the Elves,2006,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']",1630,746
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,2006,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",2400,510
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,2017,"['Early Access', 'Strategy', 'Action', 'Indie', 'Pixel Graphics']",759920,0
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,2017,"['Indie', 'Action', 'Adventure', 'RPG']",603280,0
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,2017,"['Early Access', 'Casual', 'Strategy', 'City Builder', 'Building', 'Economy', 'Base Building']",753110,0
"['Action', 'Indie']",Orbitality,2017,"['Indie', 'Action']",753100,0
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,2017,"['Action', 'Adventure', 'Casual']",764280,0
['Action'],Advent Rising,2005,"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']",3800,325
"['Indie', 'Strategy']",DEFCON,2006,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",1520,0
"['Action', 'Indie', 'RPG']",The Ship: Single Player,2006,"['Action', 'RPG', 'Indie', 'Singleplayer', 'FPS']",2420,285
